word,pos,ipa
para,ADP,ˈpɐɾɐ
para,VERB,ˈpaɾɐ
pelo,ADP,ˈpɨlu
pelo,NOUN,ˈpelu
pelo,VERB,ˈpɛlu
tola,NOUN,ˈtɔlɐ
tola,ADJ,ˈtolɐ
seco,ADJ,ˈseku
seco,VERB,ˈsɛku
acordo,NOUN,ɐˈkoɾdu
acordo,VERB,ɐˈkɔɾdu
acerto,NOUN,ɐˈseɾtu
acerto,VERB,ɐˈsɛɾtu
cerro,NOUN,ˈseʁu
cerro,VERB,ˈsɛʁu
choro,NOUN,ˈʃoɾu
choro,VERB,ˈʃɔɾu
colher,NOUN,kuˈʎɛɾ
colher,VERB,kuˈʎeɾ
começo,NOUN,kuˈmesu
começo,VERB,kuˈmɛsu
conserto,NOUN,kõˈseɾtu
conserto,VERB,kõˈsɛɾtu
coro,NOUN,ˈkoɾu
coro,VERB,ˈkɔɾu
corte,NOUN,ˈkoɾtɨ
corte,VERB,ˈkɔɾtɨ
forma,VERB,ˈfɔɾmɐ
forma,NOUN,ˈfoɾmɐ
gozo,NOUN,ˈgozu
gozo,VERB,ˈgɔzu
gosto,NOUN,ˈgoʃtu
gosto,VERB,ˈgɔʃt
jogo,NOUN,ˈʒoɡu
jogo,VERB,ˈʒɔɡu
molho,NOUN,ˈmoʎu
molho,VERB,ˈmɔʎu
olho,NOUN,ˈoʎu
olho,VERB,ˈɔʎu
rego,NOUN,ˈʁeɡu
rego,VERB,ˈʁɛɡu
sede,NOUN,ˈsɛdɨ
sede,VERB,ˈsedɨ
sobre,NOUN,ˈsobɾɨ
sobre,VERB,ˈsɔbɾɨ
torre,NOUN,ˈtoʁɨ
torre,VERB,ˈtɔʁɨ
transtorno,NOUN,tɾɐ̃ʃˈtoɾnu
transtorno,VERB,tɾɐ̃ʃˈtɔɾnu
peso,NOUN,ˈpezu
peso,VERB,ˈpɛzu
porto,NOUN,ˈpoɾtu
porto,VERB,ˈpɔɾtu
posto,NOUN,ˈpoʃtu
posto,VERB,ˈpɔʃtu
